n_layer1,n_layer2,n_layer3,blk_size,time_m1,time_m2,time_m3,time_m4,time_m5,time_m6,time_m7,time_m8,time_m9,time_m10,time_m11,time_batch,time_predict,time_backprgtn,time_rtn,model
2500,2500,2500,32,13.6489,10.1178,209.009,151.849,39.4422,16.04,0,245.193,5.69111,31.0822,384.324,201320,1176.58,167338,32419,2
2500,2500,2500,16,12.1156,8.86667,236.678,114.6,29.28,9.72667,0,155.187,5.23556,26.02,251.362,209091,1010.76,175139,32539.3,2
2500,2500,2500,8,12.5111,9.61333,212.609,131.996,30.1133,13.3933,0,149.156,7.08222,36.5778,267.944,188887,1042.84,154205,33242.1,2
2500,2500,2500,4,13.1956,9.36889,169.773,81.7111,25.3267,24.0422,0,137.913,11.0178,27.2467,237.049,181979,913.118,148199,32505.6,2
3000,3000,3000,4,15.2356,9.77111,208.824,105.92,22.1178,41.2622,0,99.9822,32.0844,28.3133,194.122,266162,1132.1,217705,46953.1,2
3000,3000,3000,8,1107.41,12905.9,12943.8,534.587,354.582,302.94,0,19574.2,19162,12750.8,13142.4,372447,27702,320804,23787.8,1
3000,3000,3000,8,14.2178,9.91556,145.369,84.3556,25.4889,29.6978,0,128.402,5.94889,29.26,147.844,287544,1005.95,238665,47452.2,2
3000,3000,3000,8,221.356,12731.6,12607.4,258.693,116.482,111.809,0,19538,19044.1,12384.3,12460.4,368692,26035.9,318701,23919.5,1
3000,3000,3000,0,6.32,3978.12,3971.99,23.4956,35.9778,2.40889,0,4164.77,4170.75,4149.38,4135.41,283551,8282.38,250398,24704.5,0
3000,3000,3000,16,15.2,9.35556,164.228,160.067,16.4389,6.85556,0,61.3722,14.8889,35.9111,161.794,344489,1226.32,299241,43614.5,2
3000,3000,3000,32,15.8111,9.35,243.772,71.3167,4.46111,8.17778,0,20.6556,5.01111,32.8944,129.472,293766,1155.41,249919,42363.9,2
4000,4000,4000,32,15.1444,10.6778,239.617,85.6111,6.55,7.27778,0,62.6056,6.08889,39.9222,88.3278,548551,1350.68,469429,77414.2,2
4000,4000,4000,16,15.6333,10.8833,295.9,162.661,6.44444,5.05,0,79.7111,6.77778,41.0667,90.6167,787771,1616.75,707752,78008.6,2
4000,4000,4000,8,16.4944,11.2,147.311,233.339,27.05,5.48889,0,49.3556,6.81111,37.9722,124.106,525703,1682.46,446073,77596.2,2
4000,4000,4000,4,15.2222,11.4056,147.506,67.0333,15.2833,44.9889,0,66.8722,16.2444,38.1167,89.3611,480014,1159.3,402234,76256.4,2
4000,4000,4000,4,640.833,22774.3,22488.5,552.089,343.694,325.528,0,34301.5,34116.3,23459.5,23782.8,605701,46750.1,515202,43711.7,1
4000,4000,4000,8,1786.51,21636.8,21430.1,537.644,384.367,312.039,0,32459.2,32277,21342.3,21907.9,636935,45668.5,548116,42602.6,1
4000,4000,4000,8,1814.75,21897.7,21708.6,577.967,325.45,308.156,0,33236.1,32322.4,21866,22984.3,646986,46272.2,557775,42378.1,1
4000,4000,4000,32,1867.76,23385.3,23791.4,553.572,330.25,310.972,0,31661,31329.2,23683,23888.7,672557,49939.4,577409,44664.4,1
800,800,800,32,9.81667,8.39444,5.08333,4.63889,4.40556,6.98333,0,7.41667,5.69444,18.7556,33.5778,11471.2,176.433,7945.92,2590.39,2
800,800,800,16,10.0278,7.31667,9.98889,67.2167,27.0778,14.5444,0,6.62222,5.42222,17.1667,39.7389,14549.7,279.356,7972.24,3102.52,2
800,800,800,8,10.6444,12.6889,490.767,407.067,116.633,15.1833,0,11.4556,18.7056,15.9778,42.9167,16971.1,2238.9,9168.13,3470.65,2
800,800,800,4,10.0056,6.03333,3.87222,3.46667,5.48333,6.28889,0,6.23889,5.20556,15.9,35.85,11125.9,121.15,5896.05,2895.16,2
1200,1200,1200,4,11.1611,7.9,49.8278,3.59444,8.36667,4.8,0,7.24444,11.9111,21.6333,39.0444,22955.5,275.722,15677.8,6203.79,2
1200,1200,1200,8,11.0111,8.21111,16.8056,3.60556,3.65,6.03889,0,7.87778,4.3,19.6333,46.9111,23849.8,247.906,16889.5,6053.36,2
1200,1200,1200,16,11.0667,8.05,13.4778,22.8722,3.56111,13.6444,0,7.83889,17.4611,17.7722,37.3278,24621.8,253.717,17810.1,5884.25,2
1200,1200,1200,32,11.25,7.27778,15.2556,3.78333,4.42222,6.4,0,7.68889,4.76667,17.4833,37.0889,22277.3,200.644,15542.5,5809.36,2
1800,1800,1800,32,12.2111,9.47222,365.489,175.45,98.4333,36.8889,0,96.5556,26.0056,28.25,169.3,96445.5,1454.81,79486.5,15106.3,2
1800,1800,1800,16,13.0889,8.58333,570.139,62.4056,64.5722,7.21111,0,44.9833,5.67222,24.9722,114.228,93492,1130.93,77261,14695.2,2
1800,1800,1800,8,10.7778,8.12222,462.028,178.089,72.4333,9.65556,0,13.4,7.32222,26.6833,159.833,89954.2,1155.07,73470.5,14957,2
1800,1800,1800,4,13.2944,7.72778,385.867,142.856,58.3333,25.4667,0,30.6222,6.22222,48.6944,180.961,84885.5,1018.73,68441.1,15065.6,2
4000,4000,4000,0,8.18889,6278.82,6553.37,26.3,38.2,2.46111,0,6866.17,6457.26,6313.76,6320.89,515963,13170.2,461081,41165.3,0
